Concept,Consensus,Shared_Factors_GCD,Extra_Factors_all-MiniLM-L6-v2,Extra_Factors_paraphrase-MiniLM-L3-v2
pigman,False,"[2, 3, 5, 11]",[],"[7, 17, 19]"
handwriting,False,"[2, 19]","[3, 13]","[5, 29]"
edible,False,"[5, 11, 29]","[3, 19]","[2, 13]"
Vicia,False,"[5, 7, 19, 29]","[2, 11]",[3]
canon,False,"[2, 19]","[3, 13, 29]","[5, 7, 11]"
Chlamydomonadaceae,False,"[5, 19, 29]",[],"[2, 7, 11, 13, 23]"
abstracter,False,"[2, 5, 11, 17, 19, 29]","[13, 23]",[]
Houyhnhnms,False,"[5, 11, 19]",[29],"[3, 17]"
clouding,False,"[17, 19]",[29],"[2, 3, 5, 11, 13]"
exarch,False,"[2, 3, 5, 17, 19, 29]",[],[11]
Alsophila,False,"[5, 19, 29]",[13],"[7, 11]"
quotation,False,"[3, 17, 29]",[13],"[2, 5, 11, 19]"
Andvari,False,"[2, 19, 29]","[3, 7, 13]","[5, 17]"
liturgics,False,"[2, 5, 29]",[],"[3, 7, 19]"
someone,False,"[2, 3, 5, 19]","[11, 17]",[29]
gonadotropin,False,"[2, 7, 11, 29]","[3, 13, 17, 23]","[5, 19]"
Aether,False,"[2, 5, 19, 29]","[3, 13, 23]","[7, 11]"
hellion,False,"[2, 3, 17, 19, 29]",[7],[13]
Hylocereus,False,"[2, 5, 11, 29]","[7, 13]","[3, 17, 19, 23]"
whit,False,"[3, 5, 17, 19, 29]","[2, 23]",[13]
lieutenancy,False,"[3, 11, 19]","[2, 7]","[5, 13, 17]"
dasymeter,False,"[2, 5, 11, 19, 29]",[3],[7]
arpeggio,False,"[2, 3, 5, 11, 29]","[7, 13, 17, 19]",[]
oil,False,"[3, 5, 29]",[7],"[2, 11, 13, 23]"
choirmaster,False,"[2, 3, 5, 19]",[17],"[7, 23]"
blucher,False,"[2, 3, 13]",[29],"[5, 11, 19, 23]"
sumac,False,"[13, 19]","[7, 11, 29]",[3]
nonachievement,False,[17],"[2, 3]","[5, 13, 19]"
goalkeeper,False,"[2, 3, 7, 11]","[5, 13, 19, 29]",[]
Acropora,False,"[2, 3, 5, 11, 13, 19, 29]",[7],[17]
precipitate,False,"[3, 5]",[],"[2, 17, 23, 29]"
esthete,False,"[3, 5, 29]","[2, 7, 19]",[23]
blackness,False,"[2, 3, 5, 11, 29]",[],[19]
prep,False,"[3, 5, 7, 19]",[17],[2]
Mussorgsky,False,"[11, 19]","[2, 3]","[5, 7, 13, 17, 23, 29]"
dragoon,False,"[2, 3, 5, 29]","[17, 19]","[7, 23]"
enteron,False,"[2, 3, 7, 19, 29]","[5, 11, 17]",[23]
Carolus,False,"[2, 3, 5, 19, 29]","[7, 13]",[17]
extremity,False,"[2, 3, 11, 19]","[13, 29]","[5, 7]"
expedience,False,"[11, 17, 29]",[],"[3, 5, 19]"
liberalization,False,"[5, 13, 17, 19, 29]","[7, 11, 23]",[]
Cephalotaxaceae,False,"[2, 5, 13, 19, 29]",[],"[3, 23]"
quadrantanopia,False,"[5, 11, 17, 29]","[2, 13]","[3, 23]"
arroyo,False,"[3, 29]","[13, 19]",[23]
acanthocytosis,False,"[2, 11, 17]","[5, 13, 23, 29]","[7, 19]"
Plecoptera,False,"[2, 5, 19]",[13],[]
subsidiary,False,"[2, 3, 5, 13, 19, 29]",[11],[]
insert,False,"[5, 29]","[7, 11, 13]","[2, 19]"
sentry,False,"[2, 19]",[11],"[5, 17, 29]"
methionine,False,"[3, 5, 17, 29]",[11],"[2, 23]"
Asterope,False,"[2, 3, 11, 17, 19, 29]","[5, 13]","[7, 23]"
ECOSOC,False,"[3, 29]","[5, 13, 19]","[11, 17]"
pinning,False,"[19, 29]","[3, 7, 11, 13, 23]",[5]
clubfoot,False,"[2, 5, 19]","[3, 11, 13, 23]",[7]
error,False,"[2, 3, 13, 29]",[11],"[5, 17, 19]"
Chaenopsis,False,"[5, 11, 13, 29]","[3, 7]","[19, 23]"
humanness,False,"[3, 11, 17, 29]",[19],"[2, 5, 13]"
painfulness,False,"[2, 3, 11, 13, 17, 19, 29]",[],"[5, 7]"
symposiarch,False,"[5, 11, 17]","[2, 7]","[3, 19, 23]"
felspar,False,"[2, 3, 5, 17]","[13, 29]",[]
forgetfulness,False,"[3, 5, 11, 19]",[29],"[2, 7, 13, 23]"
Saccharomyces,False,[5],[29],"[2, 7, 11, 19]"
hyperadrenalism,False,"[5, 11, 19, 29]",[2],"[3, 13, 17, 23]"
variolation,False,"[3, 11, 29]",[2],"[7, 13, 23]"
vasoconstriction,False,"[3, 29]",[2],"[11, 17, 19]"
lastingness,False,"[2, 3, 5, 11, 13, 19]",[],"[17, 29]"
Laniidae,False,"[11, 13, 19, 29]","[3, 5]","[2, 17, 23]"
Asteraceae,False,"[3, 5, 7, 19, 29]",[],[13]
hamstring,False,"[3, 11]","[2, 17, 29]","[5, 7]"
euphony,False,"[2, 5, 13, 17, 29]","[3, 11, 19]",[23]
Hebraism,False,"[2, 3, 5, 11, 17, 19, 29]",[],[7]
optative,False,"[5, 13, 19]","[11, 17, 23]","[2, 3]"
trichomoniasis,False,"[13, 29]","[2, 5, 7, 11]","[3, 19]"
gelignite,False,"[2, 13]","[3, 5, 7]",[11]
motivation,False,"[3, 17]","[7, 13, 19, 23, 29]","[2, 11]"
delft,False,"[3, 5, 19, 29]",[2],"[13, 17]"
Huxley,False,"[2, 17, 19]","[3, 23, 29]","[7, 11, 13]"
porc,False,"[3, 5, 29]","[7, 19]","[2, 11, 17]"
metronymic,False,"[19, 29]","[2, 5, 11, 13]","[3, 17]"
bogeyman,False,"[3, 11, 19]",[2],[]
amyxia,False,"[2, 5, 19, 29]","[3, 11, 17]","[7, 13]"
Libra,False,"[5, 19, 29]","[3, 11, 17]",[7]
glochid,False,"[3, 5, 19, 29]","[2, 7, 11]","[13, 17]"
Coward,False,"[2, 3, 5, 7]","[13, 19]","[11, 17, 29]"
Zygomycota,False,"[2, 5, 29]","[11, 13]","[3, 7, 19, 23]"
fingerpointing,False,"[19, 29]","[2, 3, 11, 13, 17, 23]",[]
Fahrenheit,False,"[3, 5, 17]","[2, 13, 29]",[]
faintness,False,"[3, 11, 19, 29]","[2, 5]","[7, 13, 23]"
machination,False,"[5, 13, 17, 19]","[2, 3, 29]",[11]
psychometrika,False,"[3, 5]","[2, 7, 11, 19]","[17, 29]"
query,False,"[3, 5, 11]","[13, 17]","[2, 19]"
bookkeeper,False,"[2, 3, 5, 7, 11, 19]","[13, 23]",[]
surtout,False,"[3, 5, 19, 29]","[2, 11]",[23]
chattering,False,"[3, 5, 19, 23, 29]","[2, 11, 13, 17]",[]
clammyweed,False,"[5, 11, 19, 29]",[3],"[7, 13, 17]"
psychoneurosis,False,"[3, 29]","[2, 5, 11, 13, 19]","[17, 23]"
Malaclemys,False,"[2, 5, 11, 13, 17, 19, 29]",[],[23]
loading,False,"[2, 3, 5, 19, 29]",[7],[17]
iva,False,"[3, 13]","[2, 5, 7, 11, 19]",[29]
polytonality,False,"[11, 13, 29]",[19],[5]
Castor,False,"[2, 3, 19]","[7, 11, 13, 29]",[5]
terminal,False,"[2, 19, 29]","[3, 13]","[5, 7, 23]"
nucleosynthesis,False,"[13, 29]",[7],"[11, 17, 19, 23]"
dace,False,"[3, 11, 19]","[5, 7]",[2]
verbaliser,False,"[2, 3, 5, 19, 29]",[],[17]
Hezbollah,False,"[5, 23, 29]","[3, 11, 17]","[2, 7, 13]"
Kamba,False,"[3, 5, 19]","[17, 29]","[2, 7, 11]"
porosity,False,"[3, 29]",[23],"[2, 5, 11, 19]"
Emmanthe,False,"[2, 3, 5, 17, 19]",[29],[23]
Tigris,False,"[2, 11, 29]",[13],"[3, 5, 19]"
Mallon,False,"[3, 7, 13, 19]","[2, 11]",[17]
paragon,False,"[3, 7, 11, 17, 19, 29]",[2],[5]
termagant,False,"[5, 17, 19, 29]","[3, 7]","[2, 23]"
triangularity,False,[],[11],"[2, 3, 13, 17, 19, 29]"
mihrab,False,"[3, 17, 19]",[23],[5]
lucidness,False,"[5, 11, 13, 29]",[19],"[2, 17]"
Tagore,False,"[3, 7, 13, 19]","[5, 11, 17, 29]","[2, 23]"
Hannover,False,"[2, 7, 19, 29]",[5],"[13, 17]"
Thracian,False,"[2, 3, 5, 17, 29]","[11, 13]","[19, 23]"
autacoid,False,[2],"[3, 5, 11, 13]","[17, 23]"
flub,False,"[3, 17, 19, 23, 29]","[2, 5]",[13]
archiannelid,False,"[2, 11, 29]","[5, 7]","[17, 19]"
dustbin,False,"[3, 5, 11, 13, 19, 29]",[17],[23]
Symonds,False,"[5, 7, 13, 17, 19, 29]",[11],[]
Regulus,False,"[11, 13, 29]","[3, 7, 17]","[5, 19]"
arm,False,"[2, 5, 11, 19, 29]","[3, 13]",[7]
boob,False,"[3, 29]","[11, 17]","[5, 7, 13, 19]"
Joppa,False,"[2, 3, 17]",[29],"[7, 19, 23]"
bozo,False,"[2, 3, 5, 19, 29]",[11],[7]
expulsion,False,"[7, 17, 29]","[3, 19]",[]
citadel,False,"[2, 3, 7, 11, 19]","[5, 13]",[]
cholla,False,"[3, 5, 11, 19, 29]",[],"[2, 13, 17, 23]"
adiposeness,False,"[11, 13, 19]","[2, 5, 29]",[]
socializer,False,"[2, 5, 19, 23]","[3, 11, 13, 29]",[]
ticker,False,"[2, 5, 29]","[3, 13, 17]","[7, 19]"
obituary,False,"[2, 3, 13, 19]","[7, 29]","[5, 17]"
blubber,False,"[13, 29]",[3],"[5, 11, 19]"
cartographer,False,"[11, 17, 29]","[2, 13]","[3, 5]"
haematuria,False,"[2, 5, 11, 17, 29]","[7, 13]","[3, 19]"
boogeyman,False,"[2, 3, 17, 19, 29]",[11],[7]
desalinisation,False,"[3, 7, 29]",[],"[11, 13, 17, 19, 23]"
Vasarely,False,"[7, 11]",[2],"[3, 17]"
gofer,False,"[2, 3, 19, 23, 29]",[13],"[5, 7, 11]"
rbi,False,[29],"[3, 19]",[23]
miser,False,"[3, 19, 29]",[7],"[5, 11, 13, 17]"
godmother,False,"[2, 5, 11, 19, 29]",[3],"[7, 17, 23]"
worthiness,False,"[3, 5, 19]",[],"[2, 13, 17, 29]"
industrialism,False,"[3, 5, 17, 23, 29]","[2, 11, 13]",[]
Themis,False,"[2, 3, 7, 19, 29]","[11, 13, 17]",[5]
Megaptera,False,"[2, 19]",[13],"[3, 11, 17, 29]"
Atropidae,False,"[2, 5, 7, 11, 13]","[3, 29]","[17, 19]"
Nowruz,False,"[2, 3, 17, 29]","[7, 13, 19, 23]",[5]
sinusitis,False,"[2, 3, 5, 13, 17, 29]",[],"[11, 19, 23]"
demonstration,False,"[2, 3, 17, 19]",[],"[5, 7, 11, 29]"
cardiospasm,False,"[5, 17, 19, 29]","[3, 11, 13]",[]
Sauropodomorpha,False,"[11, 29]","[2, 3, 5]","[13, 17, 19]"
audaciousness,False,"[2, 3, 5, 13, 19, 29]",[11],"[7, 17]"
mounting,False,"[2, 3, 7, 11, 13, 19]",[23],[]
Almoravid,False,"[2, 7, 13]","[3, 5, 29]","[11, 17, 19, 23]"
importee,False,"[3, 5, 29]",[7],"[11, 19]"
Anthericum,False,"[5, 11, 13, 17]",[3],"[19, 23, 29]"
flotation,False,"[3, 13, 29]",[],"[2, 11, 19]"
gent,False,"[3, 5, 19, 29]","[2, 7, 11, 17]",[23]
Lolo,False,"[2, 3, 5, 13, 17, 29]",[19],[23]
Capitonidae,False,"[5, 13, 19, 29]",[3],"[2, 7, 17]"
halophile,False,"[3, 5, 7, 19, 29]",[17],"[2, 11, 13]"
Mandeanism,False,"[3, 17, 19, 23, 29]","[2, 7, 11]",[5]
Coriandrum,False,"[7, 11, 29]",[2],"[5, 17, 19, 23]"
repeat,False,"[13, 19, 29]","[3, 7]",[2]
metre,False,"[3, 29]",[],"[11, 13, 17, 19]"
Stenocarpus,False,[11],"[7, 29]","[2, 5, 17, 23]"
perfectionism,False,"[2, 3, 5, 13, 17, 19, 23]","[11, 29]",[]
Marches,False,"[7, 11, 13]","[17, 29]","[2, 3]"
pinniped,False,"[11, 19, 29]",[3],[5]
Stopes,False,"[2, 3, 5, 13, 17, 29]",[7],"[11, 19]"
Call,False,"[3, 5, 13, 19]",[29],"[2, 11]"
apomict,False,"[13, 29]","[3, 7, 11]","[5, 17, 19]"
ferrocyanide,False,"[3, 5, 23, 29]",[13],"[2, 17]"
bowfin,False,"[2, 3, 7, 29]",[],"[5, 11, 13, 19]"
ableism,False,"[2, 5, 11, 13, 17, 19, 23, 29]",[],[7]
endarteritis,False,"[2, 3, 7, 11, 13, 17, 19]",[29],"[5, 23]"
stylus,False,"[2, 5, 19]","[3, 13, 29]","[11, 23]"
coma,False,"[3, 19, 29]","[2, 17]","[5, 7, 13]"
offensive,False,"[17, 19, 29]","[2, 3]",[13]
gonorrhoea,False,"[2, 3, 7, 17, 19, 23, 29]",[13],[]
spoilage,False,"[2, 3, 7, 17]",[29],"[5, 11, 19]"
carom,False,"[2, 3, 5, 29]","[7, 11]","[13, 17, 19, 23]"
indigo,False,"[5, 19, 29]",[3],"[2, 23]"
redress,False,"[2, 3, 19]","[7, 29]",[5]
dapple,False,"[3, 11, 19, 29]","[5, 13]","[2, 17, 23]"
compaction,False,"[2, 3, 5, 19]",[11],[13]
sin,False,[3],"[7, 13, 29]","[2, 5, 11, 17, 19]"
munjeet,False,"[2, 5, 19]",[3],[29]
ungratefulness,False,"[3, 7, 11, 13, 17, 19]",[29],"[5, 23]"
speeder,False,"[2, 5, 13, 23, 29]",[7],"[3, 11, 17, 19]"
loudspeaker,False,"[2, 3, 23, 29]",[7],"[5, 17, 19]"
pertinency,False,"[11, 13, 17, 29]",[],"[3, 5, 19]"
Mephistopheles,False,"[3, 5, 29]","[11, 13]","[7, 17]"
Zomba,False,[19],"[2, 11]","[3, 17, 23, 29]"
synechia,False,[5],"[2, 11]","[3, 7, 17, 19, 29]"
Chalcididae,False,"[5, 7, 13]","[3, 11]",[19]
postmistress,False,"[2, 5, 11, 19]",[3],"[17, 29]"
black,False,"[2, 3, 29]",[13],[5]
constancy,False,"[3, 17, 29]",[],"[2, 5, 13, 23]"
uselessness,False,"[3, 5, 11, 17, 29]",[23],"[2, 13, 19]"
Dendroctonus,False,"[2, 11, 17, 29]",[3],[5]
dadaism,False,"[2, 5, 19]","[3, 7, 11, 29]",[17]
unwellness,False,"[3, 11, 17, 19, 29]",[2],"[5, 13]"
utilization,False,[3],"[7, 23, 29]","[5, 13, 17, 19]"
wane,False,"[3, 5, 29]","[13, 17, 23]","[2, 11, 19]"
Djiboutian,False,"[5, 11, 19, 29]",[3],"[2, 23]"
buzzard,False,"[3, 13, 19, 29]","[2, 7]","[11, 17]"
bebop,False,"[2, 3, 17, 19]",[],"[5, 11]"
millihenry,False,"[5, 17, 19]","[2, 3, 7]","[11, 29]"
tussle,False,"[3, 5, 29]","[2, 7, 17]",[11]
Empedocles,False,"[5, 19, 29]",[7],"[2, 11, 17, 23]"
eldorado,False,"[3, 5, 7, 11, 29]",[],"[2, 17, 19, 23]"
clench,False,"[2, 3, 7, 11, 19]",[17],"[5, 29]"
ONI,False,"[2, 29]","[3, 7, 11, 13]","[5, 17, 19]"
superordinate,False,"[2, 5, 11, 13, 17, 19, 29]",[3],[]
Kolonia,False,"[3, 29]","[5, 11, 13]","[2, 17, 19]"
course,False,"[3, 5, 19]","[7, 13, 29]","[2, 11]"
Breuer,False,"[3, 5, 29]","[2, 19]",[17]
Hanukkah,False,"[11, 17, 19]",[2],"[5, 13, 23, 29]"
cryosurgery,False,"[2, 13, 17, 29]",[],"[3, 7, 19]"
Pteropsida,False,"[5, 19, 29]","[2, 3, 11, 13]",[17]
Houdini,False,"[2, 3, 11, 29]",[7],"[5, 17]"
reminder,False,"[3, 5, 17, 19]","[7, 11, 29]","[2, 13]"
administrivia,False,"[5, 11, 29]","[2, 3, 7]","[17, 19]"
Lucanidae,False,"[5, 7, 11, 19, 29]",[2],[17]
impasse,False,"[5, 11, 17]",[3],[29]
Catalan,False,"[5, 13, 17, 19, 29]",[],"[2, 7]"
haymaker,False,"[5, 7, 19, 29]","[2, 3, 13, 17]","[11, 23]"
bauble,False,"[3, 19]",[29],"[2, 5, 7, 17]"
somnambulation,False,"[3, 17, 19, 29]","[2, 13]",[11]
lurker,False,"[3, 5, 11, 19, 29]",[7],"[2, 17, 23]"
discord,False,"[2, 3, 29]","[7, 23]","[5, 19]"
biosystematy,False,"[2, 5, 11, 29]",[],"[17, 19, 23]"
Sayornis,False,[13],"[2, 7, 11, 29]","[17, 19]"
trimaran,False,"[3, 5, 11, 19]","[2, 7, 29]","[17, 23]"
gentleness,False,"[2, 3, 5, 13, 19]",[],[11]
gempylid,False,"[13, 19, 29]","[5, 11]","[2, 7, 17]"
MHz,False,"[3, 19, 29]",[],"[2, 17, 23]"
Ruminantia,False,"[2, 3, 11]",[7],"[5, 17, 23, 29]"
retainer,False,"[5, 7, 11, 19]","[2, 3, 29]",[]
breadcrumb,False,"[3, 13, 17, 19]","[2, 23, 29]",[5]
talipot,False,"[2, 5, 23, 29]","[3, 11]",[]
ergotamine,False,"[2, 3, 17, 19, 29]","[7, 13]",[23]
shwa,False,"[5, 17, 19]","[3, 29]","[2, 7, 13]"
enkephalin,False,"[7, 17, 19, 29]","[2, 3, 11]","[5, 23]"
creche,False,"[2, 5, 7, 11]","[17, 19, 29]","[3, 13]"
parroquet,False,"[2, 3, 5, 7, 19]","[13, 17]",[]
Karelia,False,"[2, 5, 13, 17, 19, 29]","[7, 11]","[3, 23]"
nipple,False,"[3, 5, 7, 11, 29]",[17],"[2, 13, 19]"
camas,False,"[3, 19]","[5, 7, 13, 17, 29]",[11]
barbel,False,"[2, 3, 5]","[7, 19, 29]",[]
MRI,False,"[5, 17, 29]","[2, 11]",[13]
albite,False,"[2, 3, 5, 29]","[11, 13]",[]
interpretation,False,"[3, 19, 29]",[],"[2, 5, 17]"
proscenium,False,"[17, 29]","[2, 11, 13]","[3, 5, 7]"
treater,False,"[2, 3, 5, 17, 29]",[11],[23]
porridge,False,"[2, 5, 11, 19, 29]","[3, 7]","[13, 17, 23]"
Enterobacteriaceae,False,"[5, 7, 17, 29]",[11],"[2, 3, 13, 19]"
blah,False,"[2, 3, 13, 19, 29]",[],"[5, 17]"
Tutelo,False,"[2, 3, 5, 7, 29]",[11],"[17, 23]"
plaid,False,"[5, 29]","[2, 3, 17, 19]",[13]
attester,False,"[2, 3, 5, 17, 19, 29]",[7],[]
mule,False,"[3, 29]",[],"[2, 5, 7, 11, 13, 19, 23]"
borshch,False,"[2, 5]","[11, 29]","[3, 7, 17, 19]"
Warren,False,"[3, 13, 19]","[2, 5, 11]",[17]
firewood,False,"[2, 3, 7, 13, 19]",[29],[]
wellspring,False,"[3, 5]","[2, 19]","[11, 17, 23, 29]"
Fuscoboletinus,False,"[3, 29]","[2, 11]","[17, 23]"
arrow,False,"[3, 29]","[7, 17]","[2, 11, 19]"
intension,False,"[3, 11, 29]",[19],[17]
Muhlenbergia,False,"[2, 3, 5, 19, 29]",[],"[13, 17, 23]"
mailman,False,"[3, 5, 19]",[11],"[2, 23, 29]"
rickets,False,"[3, 5, 13, 29]","[7, 11]","[2, 19, 23]"
inoculator,False,"[7, 11, 19, 23, 29]","[5, 13]","[2, 3, 17]"
deoxycytidine,False,[13],[19],"[17, 23, 29]"
southeaster,False,"[3, 5, 17, 19, 29]","[2, 7]","[11, 23]"
dunce,False,"[3, 5, 19, 29]",[2],"[7, 11]"
Rhynchoelaps,False,"[2, 17, 19, 29]","[3, 5, 11, 13]",[23]
Lhasa,False,"[2, 5, 17, 19]",[13],"[3, 29]"
Psychotria,False,"[3, 5]","[2, 11, 13, 19]","[17, 23]"
unclearness,False,"[3, 5, 29]",[11],"[13, 17]"
refugee,False,"[3, 17]",[],"[7, 11, 13, 23, 29]"
pika,False,"[3, 11, 13, 17, 29]",[],[7]
trill,False,"[13, 17, 29]","[2, 3, 7]","[5, 11]"
Marut,False,"[3, 5, 29]","[7, 11, 13]","[17, 19, 23]"
baffled,False,"[3, 5, 13, 19, 29]",[11],"[2, 17]"
soapberry,False,"[5, 13, 19, 23]",[2],"[3, 7, 29]"
lumpfish,False,"[5, 11, 13]",[3],[29]
vaporizer,False,"[2, 3, 7, 29]",[5],"[11, 19, 23]"
condor,False,"[3, 5, 19, 29]","[7, 13, 17, 23]",[11]
triskelion,False,"[3, 5, 11, 13]","[2, 7, 17]",[29]
totara,False,"[2, 7, 17, 19]","[3, 23]",[5]
manifesto,False,"[2, 3, 5, 17]","[7, 11, 13, 23]",[19]
Vipera,False,"[3, 7]","[5, 11]","[2, 19, 23, 29]"
brontosaurus,False,"[11, 29]","[2, 5]","[3, 13, 17, 19]"
carcinoid,False,"[2, 17, 29]","[3, 11]",[13]
nawab,False,"[3, 5, 7, 11, 13, 17]","[2, 19]",[23]
periphery,False,"[11, 13, 19, 29]",[7],"[3, 5]"
railbird,False,"[2, 7, 11, 13, 19, 29]","[3, 5]",[]
preacher,False,"[2, 3, 5, 7, 17]",[19],[11]
memoranda,False,"[3, 13, 19]",[11],"[5, 17]"
musculus,False,"[2, 3, 5]",[13],"[7, 11, 19, 23]"
pentagram,False,"[2, 3, 5, 19]",[23],[7]
reappraisal,False,"[3, 19]","[2, 17]",[5]
perkiness,False,"[2, 3, 11, 17, 19, 29]","[7, 13]","[5, 23]"
Ophiodon,False,"[2, 3, 5, 13]","[11, 19]",[17]
deckle,False,"[11, 13, 19, 29]","[3, 5]","[2, 7]"
primogenitor,False,"[5, 7, 11, 29]",[13],[17]
Hell,False,"[2, 3, 7, 11, 13, 17, 19, 29]",[],[5]
marri,False,"[3, 5, 7, 11, 19]","[23, 29]",[2]
fraise,False,"[2, 5, 29]","[7, 11, 13]",[]
info,False,"[3, 5, 11, 13, 19, 29]",[7],"[2, 17]"
pone,False,"[3, 11, 19, 29]","[2, 7]","[17, 23]"
antiredeposition,False,"[11, 17]","[2, 5, 13, 19, 29]","[3, 7]"
enemy,False,"[2, 3, 11, 17, 23, 29]","[7, 13]",[]
grey,False,"[2, 3, 5]",[],"[13, 19, 29]"
foredeck,False,"[19, 29]","[3, 13]","[2, 5, 7, 11]"
toitoi,False,"[2, 13, 17, 19, 29]",[3],[5]
cube,False,"[13, 19, 29]","[3, 7]","[5, 11, 17]"
Bothidae,False,"[2, 11, 13, 29]","[3, 5, 7]","[17, 19]"
rematch,False,"[2, 7]","[3, 17, 29]",[19]
pattern,False,"[2, 3, 5, 7, 29]","[11, 17]","[13, 19]"
fandom,False,"[2, 3, 5, 7, 19, 29]","[11, 17]",[23]
Miwok,False,"[17, 19, 29]","[2, 3, 11, 23]",[5]
monocot,False,"[2, 5, 23, 29]",[13],"[7, 11, 19]"
yang,False,"[2, 5, 13, 19, 29]","[3, 11]",[]
underfelt,False,"[3, 5, 29]","[11, 19]","[2, 17]"
Apodiformes,False,"[5, 11, 19, 29]",[7],[17]
sang,False,"[2, 3, 5, 19, 29]",[7],[13]
phosphorus,False,"[17, 29]","[3, 5, 23]",[13]
Dictyophera,False,[29],[13],"[5, 17, 19, 23]"
barbu,False,"[3, 5, 7, 19]","[11, 29]",[2]
proboscis,False,"[3, 5, 19, 29]","[2, 17]",[]
corkage,False,[29],"[3, 7, 19, 23]","[2, 5]"
starling,False,"[13, 19, 29]","[3, 17]","[2, 5, 23]"
dear,False,"[2, 3, 5, 19]","[13, 23, 29]",[11]
rational,False,"[3, 11, 13, 17, 19, 29]",[23],"[2, 5]"
cootie,False,"[5, 29]","[2, 3, 13]",[19]
transom,False,"[5, 11, 29]","[3, 7]","[2, 19]"
firethorn,False,"[2, 3, 11, 29]",[7],"[17, 23]"
corkboard,False,"[2, 29]","[3, 7, 19, 23]","[5, 13]"
cardiologist,False,"[11, 13, 29]",[],"[2, 3, 5, 17, 23]"
prototype,False,"[2, 3, 5, 11, 17, 19]",[],[7]
quarters,False,[13],"[3, 7, 29]","[2, 5, 11]"
thimbleberry,False,"[5, 13, 19]","[2, 11]","[23, 29]"
Rothschild,False,"[2, 5, 7, 19, 29]","[3, 17]",[]
paraldehyde,False,"[5, 11, 19, 29]","[2, 7]","[3, 13]"
Mali,False,"[3, 7, 17]","[11, 19]","[2, 13]"
liverwurst,False,"[2, 5, 17]","[3, 29]",[7]
sclerite,False,"[3, 5, 7]",[29],"[2, 11, 13, 17, 19]"
panpipe,False,"[2, 5, 29]","[3, 17, 19]","[7, 11]"
huddle,False,"[2, 5, 11, 13, 29]",[3],[7]
inconvenience,False,"[2, 3, 17]","[7, 29]","[5, 23]"
copaline,False,"[2, 3, 5, 13, 29]",[],[7]
blaeberry,False,"[3, 5, 17, 19, 29]","[2, 11]",[13]
flow,False,"[3, 29]",[19],"[2, 11]"
Desyrel,False,"[2, 3, 5, 19, 29]","[7, 13]",[11]
superintendent,False,"[3, 5, 13, 19, 29]","[2, 11]",[17]
Strobilomyces,False,"[3, 23, 29]",[],"[2, 5, 7, 11, 17]"
cracklings,False,"[5, 29]","[11, 13]",[]
reamer,False,"[2, 3, 7, 17, 19, 29]",[],"[11, 13, 23]"
inelegance,False,"[3, 5, 19, 29]","[7, 11]","[2, 17]"
vasculitis,False,"[11, 29]","[2, 5, 13]","[3, 7, 19, 23]"
briny,False,"[2, 3, 5, 11, 13, 29]",[19],[17]
railhead,False,"[2, 13, 19, 29]",[3],"[7, 11, 17]"
doodle,False,"[2, 5, 11, 19, 29]","[3, 13, 17]",[]
Tibit,False,"[3, 5, 19]","[11, 17, 29]",[2]
virtue,False,"[2, 3, 7, 11, 13]",[29],"[5, 19]"
Stercorariidae,False,"[2, 5, 11, 13]","[7, 29]",[3]
tough,False,"[3, 5, 19]",[7],"[2, 17]"
bikers,False,"[2, 3, 5, 11, 29]","[17, 19, 23]",[]
burbot,False,"[3, 11, 13, 29]","[2, 7]",[17]
bilingualism,False,"[5, 29]","[3, 13, 19]",[]
Intelnet,False,"[19, 23, 29]","[3, 5]","[7, 13]"
handiwork,False,"[2, 5, 19]","[3, 13, 17]",[29]
cystoparalysis,False,"[11, 17]","[13, 29]","[3, 5, 7]"
pregnanediol,False,"[5, 17]","[11, 29]","[2, 3, 7, 19]"
attainableness,False,"[3, 5, 11, 13, 17, 19]",[29],[2]
Melocactus,False,"[5, 11, 13, 19, 29]",[3],"[2, 7, 17, 23]"
trioxide,False,"[2, 3, 29]",[],"[17, 23]"
Toyonaki,False,"[2, 11, 29]",[],"[3, 5, 7, 17, 19]"
sprayer,False,"[3, 19, 29]","[2, 5, 7, 13]","[11, 23]"
chronology,False,"[2, 3, 7, 17, 19, 29]","[5, 11, 13]",[]
humidity,False,"[3, 13, 23]","[2, 7]","[19, 29]"
aliment,False,[5],"[3, 29]","[2, 11, 17]"
rotisserie,False,"[3, 5, 7, 19]","[2, 29]","[11, 17]"
Navaho,False,"[2, 3, 5, 7, 11]","[17, 29]",[19]
Fatiha,False,[29],"[2, 11]","[3, 7, 13, 17, 19, 23]"
fructification,False,"[3, 5, 23, 29]","[2, 13]","[11, 19]"
Anguillula,False,"[2, 3, 7, 13, 29]",[5],[23]
Nepidae,False,"[3, 5, 29]","[2, 7, 11, 13]","[17, 19]"
component,False,"[2, 3, 5]","[7, 29]","[11, 17, 19]"
lowercase,False,"[2, 3, 5, 19]",[29],"[7, 11]"
burrawong,False,"[3, 5]",[2],"[11, 13, 29]"
villainy,False,"[2, 3, 19, 29]","[11, 13]","[17, 23]"
Hagerstown,False,"[2, 3, 13, 17, 29]",[],"[7, 11, 19]"
Copernicia,False,"[2, 5, 7, 29]",[13],"[3, 17]"
inadvisability,False,"[17, 19, 29]","[11, 13, 23]","[3, 5, 7]"
